Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Chicago Waffles,OPERATIONAL,"1400 South Michigan Avenue, Chicago",2,4.2,1801,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.8637139,-87.62430560000001
Dearborn Tower Condo Association,OPERATIONAL,"1530 South State Street, Chicago",Price information not available,4.5,42,"['point_of_interest', 'establishment']",41.8611229,-87.6275268
ABA Midwest,OPERATIONAL,"1449 South Michigan Avenue, Chicago",Price information not available,3.2,6,"['health', 'point_of_interest', 'establishment']",41.86268449999999,-87.6235877
Daystar Academy,OPERATIONAL,"1550 South State Street, Chicago",Price information not available,4.4,10,"['primary_school', 'secondary_school', 'point_of_interest', 'school', 'establishment']",41.860511,-87.6281028
Ping Tom Memorial Park,OPERATIONAL,"1700 South Wentworth Avenue, Chicago",Price information not available,4.6,3675,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",41.8572974,-87.6343835
Lakeside Tower Condominium,OPERATIONAL,"1600 South Indiana Avenue, Chicago",Price information not available,4.6,15,"['point_of_interest', 'establishment']",41.8600555,-87.6228252
Tapas Valencia,OPERATIONAL,"1530 South State Street, Chicago",2,4.5,1393,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8611004,-87.6274644
South Side,Status not available,Chicago,Price information not available,No rating,No ratings,"['neighborhood', 'political']",41.7506491,-87.64405529999999
Joy Yee,OPERATIONAL,"2139 South China Place, Chicago",2,4.3,4088,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.8540611,-87.633873
SKY55,OPERATIONAL,"1255 South Michigan Avenue, Chicago",Price information not available,3.2,125,"['real_estate_agency', 'point_of_interest', 'establishment']",41.8661991,-87.62368049999999
Flo & Santos,OPERATIONAL,"1310 South Wabash Avenue, Chicago",2,4.5,2103,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.8653731,-87.6262352
Daystar Education Association,OPERATIONAL,"1550 South State Street, Chicago",Price information not available,4.5,2,"['point_of_interest', 'establishment']",41.8603126,-87.62866869999999
Public Storage,OPERATIONAL,"1414 South Wabash Avenue, Chicago",Price information not available,4.8,624,"['storage', 'point_of_interest', 'store', 'establishment']",41.86356869999999,-87.62619289999999
Chinatown Square Association,OPERATIONAL,"2133 South China Place, Chicago",Price information not available,4.5,109,"['point_of_interest', 'establishment']",41.85430239999999,-87.63357769999999
Furnished Suites in South Loop Chicago,CLOSED_TEMPORARILY,"E 14th St and, South Michigan Avenue, Chicago",Price information not available,1,2,"['lodging', 'point_of_interest', 'establishment']",41.8640971,-87.6240663
Active Body Chiropractic,OPERATIONAL,"1600 South Indiana Avenue #2, Chicago",Price information not available,4.9,83,"['point_of_interest', 'health', 'establishment']",41.85994090000001,-87.6228333
DoGone Fun!,OPERATIONAL,"1717 South State Street, Chicago",Price information not available,4.2,154,"['pet_store', 'point_of_interest', 'store', 'establishment']",41.8586193,-87.6268238
Perspectives Charter Schools,OPERATIONAL,"1530 South State Street, Chicago",Price information not available,3.5,4,"['school', 'point_of_interest', 'establishment']",41.8608315,-87.6274658
FOUR SEASONS DRY CLEANING & TAILORING,OPERATIONAL,"1550 South Indiana Avenue #1, Chicago",Price information not available,3.5,49,"['laundry', 'point_of_interest', 'establishment']",41.8606229,-87.6228795
Rizwan Arayan MD,OPERATIONAL,"1550 South Indiana Avenue Exhibition, Chicago",Price information not available,1,1,"['doctor', 'point_of_interest', 'health', 'establishment']",41.8606092,-87.6228616
McCormick Place rentals by Cloud9,OPERATIONAL,"2036 South Michigan Avenue, Chicago",Price information not available,5,1,"['lodging', 'point_of_interest', 'establishment']",41.85467999999999,-87.6243447
Crystal-Eyez Makeup & Beauty Lounge,OPERATIONAL,"1933 South Archer Avenue, Chicago",Price information not available,4.5,113,"['beauty_salon', 'point_of_interest', 'establishment']",41.8558235,-87.62819669999999
Equinix Data Center,OPERATIONAL,"350 East Cermak Road, Chicago",Price information not available,4.2,55,"['point_of_interest', 'establishment']",41.8536495,-87.6183422
Long Grove House,OPERATIONAL,"2001 South Michigan Avenue #1, Chicago",Price information not available,3.6,68,"['lodging', 'point_of_interest', 'establishment']",41.85514349999999,-87.6233918
Chicago Police Department,OPERATIONAL,"1718 South State Street, Chicago",Price information not available,No rating,No ratings,"['police', 'point_of_interest', 'establishment']",41.8584895,-87.62835969999999
Prairie District Tower Condo,OPERATIONAL,"1717 South Prairie Avenue, Chicago",Price information not available,4.1,19,"['point_of_interest', 'establishment']",41.8584365,-87.6198806
Coinstar Kiosk - Bitcoin ATM,OPERATIONAL,"1224 South Wabash Avenue Jewel, Chicago",Price information not available,1,1,"['atm', 'finance', 'point_of_interest', 'store', 'establishment']",41.8662066,-87.6262093
1401 S. State Apartments,OPERATIONAL,"1401 South State Street, Chicago",Price information not available,4.1,124,"['real_estate_agency', 'point_of_interest', 'establishment']",41.8639224,-87.62710709999999
