url,type,price,sq_ft,price_per_sq_ft,latitude,longitude,beds,baths,address,tags,year_built,property_type,amenities.hoa_dues,amenities.community,amenities.county,amenities.built,amenities.property_type,amenities.heating_cooling,amenities.laundry,amenities.parking,amenities.lot_size,num_restaurants,avg_restaurant_price_level,num_stores,num_schools,num_hospitals,num_crimes,violent_crime_count,nonviolent_crime_count,most_prevalent_crime,crime_proportion
https://redfin.com/IL/Chicago/512-N-McClurg-Ct-60611/unit-3901/home/12695579,for_sale,499000.0,1440.0,347.0,41.8915546,-87.6179017,2.0,2.0,"512 N Mcclurg Ct #3901, Chicago, IL 60611","['HARDWOOD', 'FULL ENSUITE', 'WALK-IN CLOSET', 'EAST VIEWS', '39TH FLOOR', 'NATURAL LIGHT']",2001.0,Condo/Co-op,$792 monthly HOA fee,Residences at River East,Cook,Built in 2001,Condo,Has A/C,In-unit laundry (washer and dryer),1 garage space,,108,2.096774193548387,2,30,49,5697,1498,4094,THEFT,0.40196594698964366
https://redfin.com/IL/Chicago/401-N-Wabash-Ave-60611/unit-76E/home/40379159,for_sale,775000.0,1017.0,762.0,41.8889379,-87.6263956,1.0,1.5,"401 N Wabash Ave Unit 76E, Chicago, IL 60611","['HARDWOOD FLOORS', 'MIELE APPLIANCES', 'PANORAMIC VIEWS', 'SNAIDERO CABINETRY', 'GOURMET KITCHEN', 'WOLF OVEN']",2008.0,Condo/Co-op,"$1,282 monthly HOA fee",Trump Tower Chicago,Cook,Built in 2008,Condo,Has A/C,In-unit laundry (washer and dryer),1 garage space,,156,2.0821917808219177,3,60,58,10932,2659,8034,THEFT,0.4311196487376509
https://redfin.com/IL/Chicago/1040-N-Lake-Shore-Dr-60611/unit-16A/home/14123778,for_sale,1195000.0,3030.0,394.0,41.9021296,-87.6248737,3.0,4.5,"1040 N Lake Shore Dr Unit 16A, Chicago, IL 60611","['REFINISHED PARQUE WOOD FLOORS', 'STAND-ALONE ISLAND', 'SEPARATE LAUNDRY ROOM', 'WET BAR AND WINE FRIDGE', 'PRIVATE FOYER', 'FLOOR TO CEILING WINDOWS']",1964.0,Condo/Co-op,"$3,699/mo",CHI - Near North Side,Cook,1964,Condo,Has A/C,In-unit laundry (washer and dryer),1 car garage,,95,2.0595238095238093,0,36,33,4111,1184,2872,THEFT,0.39114570664072
https://redfin.com/IL/Chicago/110-E-Delaware-Pl-60611/unit-2003/home/14119995,for_sale,350000.0,1000.0,350.0,41.89929,-87.625665,1.0,1.0,"110 E Delaware Pl #2003, Chicago, IL 60611","['HARDWOOD FLOORS', 'SS APPLIANCES', 'VALET PKG AVAILABLE', 'GOLD COAST LOCATION', 'GRANITE COUNTER TOPS', '24-HR DOORMAN']",1988.0,Condo/Co-op,"$1,012/mo",CHI - Near North Side,Cook,1988,Condo,Has A/C,Shared laundry,,,141,2.0625,1,40,43,6429,1778,4554,THEFT,0.405817389951781
https://redfin.com/IL/Chicago/100-E-Huron-St-60611/home/179454717,for_sale,950000.0,3000.0,317.0,41.895034,-87.6250256,2.0,2.5,"100 E Huron St Unit 3503-3502, Chicago, IL 60611","['OPEN FLOOR PLAN', 'FULL AMENITIES BUILDING', 'COFFERED CEILINGS', 'PANORAMIC VIEWS', 'INDOOR POOL', 'MARBLE PEDESTAL SINK']",1991.0,Condo/Co-op,"$2,762 monthly HOA fee",CHI - Near North Side,Cook,Built in 1991,Condo,Has A/C,In-unit laundry (washer and dryer),2 garage spaces,,160,2.1517241379310343,2,38,47,7694,2075,5488,THEFT,0.40473095918897845
https://redfin.com/IL/Chicago/211-E-Ohio-St-60611/unit-2606/home/12765369,for_sale,220000.0,,520.1662870159454,41.8923975,-87.6216907,1.0,1.0,"211 E Ohio St #2606, Chicago, IL 60611","['UPDATED KITCHEN', 'BREAKFAST BAR', 'WOOD FLOORS', 'CROWN MOLDING', 'UPDATED BATH', 'INDOOR POOL']",1984.0,Condo/Co-op,$569/mo,Grand Ohio,Cook,1984,Condo,Has A/C,Shared laundry,,,148,2.143939393939394,3,37,50,7853,2075,5617,THEFT,0.4076149242327773
https://redfin.com/IL/Chicago/474-N-Lake-Shore-Dr-60611/unit-2002/home/12620170,for_sale,440000.0,1257.0,350.0,41.8908367,-87.6145904,2.0,2.0,"474 N Lake Shore Dr #2002, Chicago, IL 60611","['GRANITE COUNTERTOPS', 'RIVERFRONT VIEWS', ""CHEF'S KITCHEN"", 'LAKEFRONT VIEWS', 'SKYLINE VIEWS', 'STAINLESS-STEEL APPLIANCES']",1991.0,Condo/Co-op,"$1,083/mo",CHI - Near North Side,Cook,1991,Condo,Has A/C,In-unit laundry (washer and dryer),1 car garage,,72,2.0,2,23,43,3460,868,2557,THEFT,0.42196531791907516
https://redfin.com/IL/Chicago/401-N-Wabash-Ave-60611/unit-83E/home/40369408,for_sale,810000.0,1017.0,796.0,41.8889379,-87.6263956,1.0,1.5,"401 N Wabash Ave Unit 83E, Chicago, IL 60611","['SPA INSPIRED BATH', 'FLOOR TO CEILING WINDOWS', 'PANORAMIC VIEWS', ""CHEF'S KITCHEN"", 'ITALIAN SNAIDERO CABINETRY', 'WALK IN CLOSET']",2008.0,Condo/Co-op,"$1,440 monthly HOA fee",Trump Tower Chicago,Cook,Built in 2008,Condo,Has A/C,In-unit laundry (washer and dryer),1 garage space,,156,2.0821917808219177,3,60,58,10932,2659,8034,THEFT,0.4311196487376509
https://redfin.com/IL/Chicago/850-N-Lake-Shore-Dr-60611/unit-1610/home/178679768,for_sale,668000.0,1256.0,532.0,41.8982543,-87.6186746,2.0,2.0,"850 N Lake Shore Dr #1610, Chicago, IL 60611","['EXPANSIVE GRAND LOUNGE', 'MAGNIFICENT LOBBY', 'SOARING CEILINGS', 'INTRICATELY CARVED MOLDINGS', 'STUNNING CHANDELIERS', 'HEATED INDOOR POOL']",1927.0,Condo/Co-op,$862 monthly HOA fee,CHI - Near North Side,Cook,Built in 1927,Condo,Has A/C,In-unit laundry (washer and dryer),1 garage space,,98,2.1511627906976742,1,26,42,4393,1135,3213,THEFT,0.4334167994536763
https://redfin.com/IL/Chicago/405-N-Wabash-Ave-60611/unit-1707/home/14098738,for_sale,269000.0,765.0,352.0,41.8897553,-87.626013,1.0,1.0,"405 N Wabash Ave #1707, Chicago, IL 60611","['WOOD FLOORS', 'GRANITE COUNTERTOPS', 'BAY WINDOW', 'TILE BACKSPLASH', 'RENOVATED KITCHEN', 'STAINLESS-STEEL APPLIANCES']",1978.0,Condo/Co-op,$743 monthly HOA fee,River Plaza,Cook,Built in 1978,Condo,Has A/C,Shared laundry,1 garage space,,161,2.0728476821192054,3,58,58,10787,2648,7902,THEFT,0.43033280800964124
https://redfin.com/IL/Chicago/600-N-Lake-Shore-Dr-60611/unit-2209/home/39566282,for_sale,605000.0,1290.0,469.0,41.8930725,-87.6150701,2.0,2.0,"600 N Lake Shore Dr #2209, Chicago, IL 60611","['LAKE VIEWS', 'BALCONY', 'BOSCH DISHWASHER', 'STAINLESS STEEL APPLIANCES', 'UPGRADED GRANITE COUNTERTOPS', 'CITY VIEWS']",2008.0,Condo/Co-op,$941 monthly HOA fee,CHI - Near North Side,Cook,Built in 2008,Condo,Has A/C,In-unit laundry (washer and dryer),1 garage space,,89,2.111111111111111,2,23,43,3710,921,2750,THEFT,0.4207547169811321
https://redfin.com/IL/Chicago/535-N-Michigan-Ave-60611/unit-2311/home/14099015,for_sale,265000.0,820.0,323.0,41.8919525,-87.6234054,1.0,1.0,"535 N Michigan Ave #2311, Chicago, IL 60611","['SPECTACULAR VIEW', 'MODERN KITCHEN', 'NEWLY UPDATED WALK IN SHOWER', 'SPACIOUS ONE BEDROOM', 'HEALTH CLUB', 'FULL AMENITY BUILDING']",1962.0,Condo/Co-op,$827 monthly HOA fee,CHI - Near North Side,Cook,Built in 1962,Condo,Has A/C,Shared laundry,1 garage space,,164,2.141891891891892,3,39,52,8682,2326,6165,THEFT,0.40163556784151117
https://redfin.com/IL/Chicago/777-Michigan-Ave-60611/home/178185911,for_sale,550000.0,2015.0,273.0,41.896494,-87.624114,3.0,3.5,"777 N Michigan Ave Unit 2600-2602, Chicago, IL 60611","['VIEWS UP THE MAGNIFICENT MILE', 'ROOF-TOP SUNDECK', '24 HOUR DOORMEN', 'HEATED POOL', 'VALET GARAGE', 'ABUNDANT CLOSET SPACE']",1965.0,Condo/Co-op,"$1,804/mo",CHI - Near North Side,Cook,1965,Condo,Has A/C,Shared laundry,1 car garage,,149,2.1176470588235294,2,36,45,7343,2020,5217,THEFT,0.41005038812474465
https://redfin.com/IL/Chicago/400-E-Ohio-St-60611/unit-4003/home/14098192,for_sale,850000.0,1992.0,427.0,41.8927913,-87.6174943,3.0,3.0,"400 E Ohio St #4003, Chicago, IL 60611","['JACUZZI', 'PRIME STREETERVILLE LOCATION', 'GYM', 'SAUNA', 'INDOOR HEATED POOL', 'FULL AMENITY BUILDING']",1982.0,Condo/Co-op,"$2,046/mo",CHI - Near North Side,Cook,1982,Condo,Has A/C,Washer and dryer hookups,1 car garage,,113,2.0729166666666665,2,30,44,5378,1407,3877,THEFT,0.4090740052063964
https://redfin.com/IL/Chicago/175-E-Delaware-Pl-60611/unit-8808/home/14118858,for_sale,875000.0,1796.0,487.0,41.8990143,-87.6228548,3.0,2.5,"175 E Delaware Pl #8808, Chicago, IL 60611","['UPGRADED KITCHEN', 'GROCERY STORE', '50-FOOT INDOOR POOL', 'ON-SITE DRY CLEANERS', 'LUXURIOUS BATHROOMS', 'ABUNDANT CLOSET SPACE']",1970.0,Condo/Co-op,"$1,886/mo",CHI - Near North Side,Cook,1970,Condo,Has A/C,Shared laundry,1 car garage,,119,2.0660377358490565,2,31,43,5878,1621,4175,THEFT,0.40881252126573664
https://redfin.com/IL/Chicago/1040-N-Lake-Shore-Dr-60611/unit-27A/home/14122355,for_sale,1300000.0,3030.0,429.0,41.9021296,-87.6248737,3.0,4.5,"1040 N Lake Shore Dr Unit 27A, Chicago, IL 60611","['HARDWOOD FLOORS', 'OPEN CONCEPT LAYOUT', 'FLOOR TO CEILING WINDOWS', 'UNOBSTRUCTED VIEWS', 'SOAKING TUB', 'SPA LIKE EN SUITE BATHROOM']",1964.0,Condo/Co-op,"$3,841/mo",CHI - Near North Side,Cook,1964,Condo,Has A/C,In-unit laundry (washer and dryer),1 car garage,,95,2.0595238095238093,0,36,33,4111,1184,2872,THEFT,0.39114570664072
