,Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
0,ALDI,OPERATIONAL,"13145 LaGrange Road, Orland Park",1,4.4,588,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6509708,-87.8524851
1,bp,OPERATIONAL,"13501 Kedzie Avenue, Robbins",Price information not available,4.1,18,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6474719,-87.69881699999999
2,bp,OPERATIONAL,"13501 Kedzie Avenue, Robbins",Price information not available,4.1,18,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'car_wash', 'food', 'point_of_interest', 'store', 'establishment']",41.6474719,-87.69881699999999
3,bp,OPERATIONAL,"13801 South Halsted Street, Riverdale",Price information not available,No rating,No ratings,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6443319,-87.640998
4,bp,OPERATIONAL,"13801 South Halsted Street, Riverdale",Price information not available,No rating,No ratings,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'car_wash', 'food', 'point_of_interest', 'store', 'establishment']",41.6443319,-87.640998
5,Jewel-Osco,OPERATIONAL,"9652 West 131st Street, Palos Park",2,4,515,"['grocery_or_supermarket', 'supermarket', 'florist', 'bakery', 'point_of_interest', 'food', 'store', 'establishment']",41.6535316,-87.85628690000001
6,ALDI,OPERATIONAL,"13145 LaGrange Road, Orland Park",1,4.4,588,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6509708,-87.8524851
7,Jewel-Osco,OPERATIONAL,"9652 West 131st Street, Palos Park",2,4,515,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6535316,-87.85628690000001
8,ALDI,OPERATIONAL,"13145 LaGrange Road, Orland Park",1,4.4,588,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6509708,-87.8524851
9,Jewel-Osco,OPERATIONAL,"12803 South Harlem Avenue, Palos Heights",2,4.1,1022,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6590691,-87.794681
10,ALDI,OPERATIONAL,"4820 Cal Sag Road, Crestwood",1,4.5,929,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6548759,-87.7401039
11,Target Grocery,OPERATIONAL,"5071 Cal Sag Road, Crestwood",Price information not available,4.8,10,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6568608,-87.7464798
12,ALDI,OPERATIONAL,"4820 Cal Sag Road, Crestwood",1,4.5,929,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6548759,-87.7401039
13,Target Grocery,OPERATIONAL,"5071 Cal Sag Road, Crestwood",Price information not available,4.8,10,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6568608,-87.7464798
14,bp,OPERATIONAL,"13501 Kedzie Avenue, Robbins",Price information not available,4.1,18,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6474719,-87.69881699999999
