Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Smily's Convenience Store,OPERATIONAL,"507 East 130th Street, Chicago",Price information not available,4.2,21,['convenience_store'],41.6589751,-87.60927319999999
Roseranch Farms,OPERATIONAL,"525 East 130th Street, Chicago",Price information not available,5,3,['grocery_or_supermarket'],41.65828789999999,-87.60884100000001
Shell,OPERATIONAL,"12121 South Ridgeland Avenue, Palos Heights",2,3.5,59,['convenience_store'],41.6713054,-87.77747710000001
Circle K,OPERATIONAL,"12230 South Cicero Avenue, Alsip",1,2.8,15,['convenience_store'],41.6703603,-87.73965199999999
ALDI,OPERATIONAL,"12050 South Pulaski Road, Alsip",1,4.5,519,"['supermarket', 'grocery_or_supermarket']",41.6735389,-87.72064809999999
Food 4 Less,OPERATIONAL,"12150 South Pulaski Road, Alsip",1,4,754,['grocery_or_supermarket'],41.672367,-87.72132529999999
J J Mini Mart,OPERATIONAL,"12217 South Pulaski Road, Alsip",Price information not available,4.4,31,['convenience_store'],41.6707032,-87.71886239999999
Jewel-Osco,OPERATIONAL,"12001 South Pulaski Road, Alsip",2,4.3,1202,"['grocery_or_supermarket', 'supermarket']",41.67400809999999,-87.7178526
ALDI,OPERATIONAL,"12215 Western Avenue, Blue Island",1,4.5,1066,"['supermarket', 'grocery_or_supermarket']",41.6711189,-87.6797899
Walgreens,OPERATIONAL,"11833 South Western Avenue, Chicago",2,3.2,76,"['drugstore', 'convenience_store']",41.6779504,-87.68032099999999
Corner Store,OPERATIONAL,"12458 Maple Avenue #1, Blue Island",Price information not available,3.2,30,['grocery_or_supermarket'],41.66640899999999,-87.6854807
Thorntons,OPERATIONAL,"12052 Western Avenue, Blue Island",Price information not available,3.8,44,['convenience_store'],41.674057,-87.68106999999999
THE WAREHOUSE FOOD MARKET,OPERATIONAL,"538 West 119th Street, Chicago",Price information not available,4.2,745,['grocery_or_supermarket'],41.678154,-87.63620999999999
Karkar Foods,OPERATIONAL,"12315 South State Street, Chicago",Price information not available,No rating,No ratings,['convenience_store'],41.6702692,-87.622247
Legacy Mini Mart,OPERATIONAL,"12315 South State Street, Chicago",Price information not available,No rating,No ratings,['convenience_store'],41.6702647,-87.622101
ALDI,OPERATIONAL,"11340 South Cicero Avenue, Alsip",1,4.6,962,"['supermarket', 'grocery_or_supermarket']",41.6877371,-87.7402238
Country Pantry Il,OPERATIONAL,"4035 West 115th Street, Alsip",Price information not available,3.9,20,['convenience_store'],41.683647,-87.721581
Jewel-Osco Pharmacy,OPERATIONAL,"3243 West 115th Street, Merrionette Park",2,4.3,12,['drugstore'],41.68307269999999,-87.7023286
7-Eleven,OPERATIONAL,"11459 South Kedzie Avenue, Merrionette Park",1,3,34,['convenience_store'],41.6845886,-87.7003482
Tobacco City,OPERATIONAL,"3281 West 115th Street, Merrionette Park",Price information not available,4.6,154,['grocery_or_supermarket'],41.6839029,-87.70120159999999
Jewel-Osco,OPERATIONAL,"11730 South Marshfield Avenue, Chicago",2,4.1,1789,"['grocery_or_supermarket', 'supermarket']",41.6802451,-87.6645535
Jewel-Osco Pharmacy,OPERATIONAL,"11730 South Marshfield Avenue, Chicago",2,4.6,21,['drugstore'],41.67988920000001,-87.66443579999999
Pete's Fresh Market #5 - 118th & Ave O,OPERATIONAL,"3448 East 118th Street, Chicago",2,4.4,2290,"['supermarket', 'grocery_or_supermarket']",41.682144,-87.53875099999999
Walgreens,OPERATIONAL,"11801 South Avenue O, Chicago",2,2.3,94,"['drugstore', 'convenience_store']",41.68083,-87.5391891
bp,OPERATIONAL,"7701 West 111th Street, Palos Hills",Price information not available,3,25,"['supermarket', 'grocery_or_supermarket']",41.6893,-87.80999
Walgreens,OPERATIONAL,"6430 West 111th Street, Worth",2,3.7,69,"['drugstore', 'convenience_store']",41.6907143,-87.77943090000001
Shell,OPERATIONAL,"6358 West 111th Street, Chicago Ridge",2,2.9,42,['convenience_store'],41.6906189,-87.7783584
Marathon Gas,OPERATIONAL,"5201 West 111th Street, Alsip",Price information not available,2.8,15,['convenience_store'],41.69042629999999,-87.7498054
Mariano's Pharmacy,OPERATIONAL,"11000 South Cicero Avenue, Oak Lawn",Price information not available,4.2,18,['drugstore'],41.693152,-87.7416885
Mariano's,OPERATIONAL,"11000 South Cicero Avenue, Oak Lawn",Price information not available,4.3,1447,['grocery_or_supermarket'],41.6931601,-87.7416793
Walgreens,OPERATIONAL,"3220 West 111th Street, Chicago",2,2.8,54,"['drugstore', 'convenience_store']",41.6919487,-87.7019857
WIC Grocery,OPERATIONAL,"11255 South Michigan Avenue, Chicago",Price information not available,4.4,205,['grocery_or_supermarket'],41.6890945,-87.6208496
BP Food Shop,CLOSED_TEMPORARILY,"4 West 111th Street, Chicago",Price information not available,No rating,No ratings,['convenience_store'],41.692858,-87.62344000000002
