Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Our Shining Star Academy,OPERATIONAL,United States,Price information not available,3,4,"['school', 'point_of_interest', 'establishment']",41.63698490000001,-87.5987056
CICS Lloyd Bond,OPERATIONAL,"13300 South Langley Avenue, Chicago",Price information not available,3.4,12,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6532109,-87.60553949999999
George Washington Carver Elementary,OPERATIONAL,"901 East 133rd Place, Chicago",Price information not available,3,9,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6531725,-87.60102619999999
Our Shining Star Academy,OPERATIONAL,United States,Price information not available,3,4,"['school', 'point_of_interest', 'establishment']",41.63698490000001,-87.5987056
New Life Celebration Christian Academy,OPERATIONAL,"14243 Dante Avenue, Dolton",Price information not available,4.6,10,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6356232,-87.5815411
Burnham School District 154-5,OPERATIONAL,"13945 South Green Bay Avenue, Burnham",Price information not available,3.8,4,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6419334,-87.5415725
Burnham School District 154-5,OPERATIONAL,"13945 South Green Bay Avenue, Burnham",Price information not available,3.8,4,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6419334,-87.5415725
Mi Sol Montessori Garden,OPERATIONAL,"10300 131st Street, Palos Park",Price information not available,4,1,"['school', 'point_of_interest', 'establishment']",41.65261400000001,-87.8708856
Palos West Elementary School,OPERATIONAL,"12700 South 104th Avenue, Palos Park",Price information not available,3,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6584686,-87.8751748
Mi Sol Montessori Garden,OPERATIONAL,"10300 131st Street, Palos Park",Price information not available,4,1,"['school', 'point_of_interest', 'establishment']",41.65261400000001,-87.8708856
Palos West Elementary School,OPERATIONAL,"12700 South 104th Avenue, Palos Park",Price information not available,3,2,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6584686,-87.8751748
Carl Sandburg High School,OPERATIONAL,"13300 LaGrange Road, Orland Park",Price information not available,4.1,22,"['secondary_school', 'school', 'point_of_interest', 'establishment']",41.6495359,-87.8550911
Farm & Nature Discovery School,OPERATIONAL,"12700 Southwest Highway, Palos Park",Price information not available,4.8,24,"['school', 'point_of_interest', 'establishment']",41.6586419,-87.8392251
Farm & Nature Discovery School,OPERATIONAL,"12700 Southwest Highway, Palos Park",Price information not available,4.8,24,"['school', 'point_of_interest', 'establishment']",41.6586419,-87.8392251
