Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Danny's Market Place,OPERATIONAL,"1965 Vermont Street, Blue Island",Price information not available,4.4,229,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6554776,-87.67001499999999
El Ranchito Market Inc,OPERATIONAL,"12742 Western Avenue, Blue Island",Price information not available,3.7,168,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.661493,-87.6804258
Supermercado El Edén,OPERATIONAL,"RESTURANT SUIT B, 2000 Vermont Street Suite B, Blue Island",Price information not available,3.8,79,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6558018,-87.67046619999999
ALDI,OPERATIONAL,"13085 South Ashland Avenue, Calumet Park",1,4.3,872,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6568619,-87.6592952
Danny's Market Place,OPERATIONAL,"1965 Vermont Street, Blue Island",Price information not available,4.4,229,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6554776,-87.67001499999999
Supermercado El Edén,OPERATIONAL,"RESTURANT SUIT B, 2000 Vermont Street Suite B, Blue Island",Price information not available,3.8,79,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6558018,-87.67046619999999
ALDI,OPERATIONAL,"13085 South Ashland Avenue, Calumet Park",1,4.3,872,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6568619,-87.6592952
Tobacco Discount,OPERATIONAL,"7210 West College Drive, Palos Heights",Price information not available,4.6,49,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67637130000001,-87.79863809999999
Tobacco Discount,OPERATIONAL,"7210 West College Drive, Palos Heights",Price information not available,4.6,49,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67637130000001,-87.79863809999999
bp,OPERATIONAL,"12230 South Cicero Avenue, Alsip",Price information not available,3.4,25,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67034170000001,-87.7393209
bp,OPERATIONAL,"12230 South Cicero Avenue, Alsip",Price information not available,3.4,25,"['gas_station', 'car_wash', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67034170000001,-87.7393209
ALDI,OPERATIONAL,"12050 South Pulaski Road, Alsip",1,4.5,520,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6735389,-87.72064809999999
Jewel-Osco,OPERATIONAL,"12001 South Pulaski Road, Alsip",2,4.3,1204,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67400809999999,-87.7178526
ALDI,OPERATIONAL,"12050 South Pulaski Road, Alsip",1,4.5,520,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6735389,-87.72064809999999
Jewel-Osco,OPERATIONAL,"12001 South Pulaski Road, Alsip",2,4.3,1204,"['grocery_or_supermarket', 'supermarket', 'florist', 'bakery', 'point_of_interest', 'food', 'store', 'establishment']",41.67400809999999,-87.7178526
ALDI,OPERATIONAL,"12215 Western Avenue, Blue Island",1,4.5,1067,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']",41.6711189,-87.6797899
ALDI,OPERATIONAL,"12215 Western Avenue, Blue Island",1,4.5,1067,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6711189,-87.6797899
Jewel-Osco,OPERATIONAL,"11730 South Marshfield Avenue, Chicago",2,4.1,1790,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6802451,-87.6645535
bp,OPERATIONAL,"7701 West 111th Street, Palos Hills",Price information not available,3,25,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6893,-87.80999
Tobacco Discount,OPERATIONAL,"7210 West College Drive, Palos Heights",Price information not available,4.6,49,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67637130000001,-87.79863809999999
Tobacco Discount,OPERATIONAL,"7210 West College Drive, Palos Heights",Price information not available,4.6,49,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67637130000001,-87.79863809999999
ALDI,OPERATIONAL,"11340 South Cicero Avenue, Alsip",1,4.6,963,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6877371,-87.7402238
ALDI,OPERATIONAL,"12050 South Pulaski Road, Alsip",1,4.5,520,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.6735389,-87.72064809999999
Jewel-Osco,OPERATIONAL,"12001 South Pulaski Road, Alsip",2,4.3,1204,"['grocery_or_supermarket', 'florist', 'bakery', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.67400809999999,-87.7178526
Jewel-Osco,OPERATIONAL,"12001 South Pulaski Road, Alsip",2,4.3,1204,"['grocery_or_supermarket', 'bakery', 'supermarket', 'florist', 'store', 'food', 'point_of_interest', 'establishment']",41.67400809999999,-87.7178526
