Five Guys, OPERATIONAL, 2368 North Clark Street Unit 1, Chicago, 2, 4, 827, 41.9254689, -87.64063740000002
Feld, OPERATIONAL, 2018 West Chicago Avenue, Chicago, Price information not available, 4.4, 69, 41.8961134, -87.677857
Al's Pizza, OPERATIONAL, 8530 West Lawrence Avenue, Norridge, 2, 4.2, 210, 41.9669439, -87.8387326
La Fiesta on Archer, OPERATIONAL, 4248 South Archer Avenue, Chicago, 1, 4.4, 540, 41.81631, -87.70091769999999
Panchos Rooftop Cantina, OPERATIONAL, 327 South Plymouth Court, Chicago, 2, 4, 1421, 41.8774756, -87.62855320000001
Los Panchos Restaurant Bar, OPERATIONAL, 4141 West 63rd Street, Chicago, 2, 3.6, 144, 41.7783333, -87.7269444
M Burger, OPERATIONAL, B Concourse, Midway International Airport Terminal, 5700 South Cicero Avenue, Chicago, Price information not available, 1.4, 179, 41.78802450000001, -87.7420065
McDonald's, OPERATIONAL, Conc E/F, Terminal 2, O'Hare Airport - Ord Term 2, Concourse E-F, Chicago, 1, 3.1, 674, 41.97528210000001, -87.90624079999999
White Crane Creative Thai and Sushi, OPERATIONAL, 819 South Harlem Avenue, Forest Park, 2, 4.6, 308, 41.87166759999999, -87.80479729999999
CHICAGO RAMEN, OPERATIONAL, 578 East Oakton Street, Des Plaines, 2, 4.6, 1438, 42.0237448, -87.9097175
Jay, OPERATIONAL, 419 Ridge Avenue, Evanston, Price information not available, No rating, No ratings, 42.0257424, -87.68500929999999
Dunkin', OPERATIONAL, 5707 West North Avenue, Chicago, 1, 4.1, 337, 41.9091061, -87.76871609999999
Wendy's, OPERATIONAL, 4100 South Pulaski Road, Chicago, 1, 3.7, 1180, 41.817977, -87.7242002
Pasta di Napoli, OPERATIONAL, 4009 North Albany Avenue, Chicago, 2, 3.7, 53, 41.95423069999999, -87.7054438
Five Star Bar, OPERATIONAL, 1424 West Chicago Avenue, Chicago, 2, 4.5, 703, 41.896379, -87.6634469
Hamburger Heaven Elmhurst, OPERATIONAL, 281 North York Street, Elmhurst, 1, 4.4, 1212, 41.906101, -87.93967169999999
